"","x","y","z","interaction","time","zone"
"1",18.0011540329814,297.990346900832,12,"Host 0[*]",0,0
"2",10.0049432701855,390.005615273591,24,"Host 0[*]",0,0
"3",22.0012913619319,93.9984067306031,16,"Host 0[*]",0,0
"4",1.99719036408129,145.995081123759,16,"Host 0[*]",0,0
"5",37.9913760186069,177.989647349933,8,"Host 0[*]",0,0
"6",30.0001588827833,313.998495690773,4,"Host 0[*]",0,0
"7",29.9895406569964,41.9991245480783,16,"Host 0[*]",0,0
"8",33.988156365915,141.9966516965,12,"Host 0[*]",0,0
"9",38.0000148846003,241.997180933323,12,"Host 0[*]",0,0
"10",33.9972371833318,285.998839460536,20,"Host 0[*]",0,0
"11",1.99249341826911,378.005736834545,4,"Host 0[*]",0,0
"12",29.9987002949411,321.997265031345,24,"Host 0[*]",0,0
"13",10.0056982481503,1.9958595364438,24,"Host 0[*]",0,0
"14",37.9920045446243,90.0016626101005,4,"Host 0[*]",0,0
"15",38.0026025094527,101.994508391768,16,"Host 0[*]",0,0
"16",14.0066517876339,153.999270825207,24,"Host 0[*]",0,0
"17",13.9973166298018,77.9971372934243,24,"Host 0[*]",0,0
"18",17.9968905088112,397.997990261261,8,"Host 0[*]",0,0
"19",26.0001992660427,86.0035842420315,4,"Host 0[*]",0,0
"20",14.0008127749883,261.998671245916,4,"Host 0[*]",0,0
"21",34.0013332719191,237.999374035068,12,"Host 0[*]",0,0
"22",9.99781719802533,397.99912385332,8,"Host 0[*]",0,0
"23",6.00131213372637,389.999487825916,0,"Host 0[*]",0,0
"24",17.9941315963528,338.000381637706,24,"Host 0[*]",0,0
"25",9.99776087293765,1.9967154982288,20,"Host 0[*]",0,0
"26",34.0033122881317,125.996898965676,12,"Host 0[*]",0,0
"27",1.99398274808507,186.001698786185,8,"Host 0[*]",0,0
"28",22.0044401884209,161.999561995708,24,"Host 0[*]",0,0
"29",34.0020998376181,77.9989849187958,8,"Host 0[*]",0,0
"30",1.99961076037178,110.001476730448,12,"Host 0[*]",0,0
"31",17.9912226449339,286.004736174147,24,"Host 0[*]",0,0
"32",21.9967642703142,185.991109272651,4,"Host 0[*]",0,0
