"","Total Hosts","No contaminated","Total Hosts(repeated)","No infected","Eggs Amt","Eggs Amt Infected","No Colonized","Faeces Amt","Faeces Amt Infected","TimeUnit","Zone","variable","value"
"717",2000,252,2000,207,675,40,173,5015,499,12,"Zone 1","%Faeces infected",9.9481658692185
"718",0,0,0,0,0,0,0,0,0,12,"Zone 2","%Faeces infected",0
"719",0,0,0,0,0,0,0,0,0,12,"Zone 3","%Faeces infected",0
"720",1,0,1,0,1,0,0,1,0,12,"Collection Zone","%Faeces infected",0
"721",0,0,0,0,143,10,0,0,0,13,"Zone 0","%Faeces infected",0
"722",2000,260,2000,205,744,39,171,483,43,13,"Zone 1","%Faeces infected",8.88429752066116
"723",0,0,0,0,0,0,0,0,0,13,"Zone 2","%Faeces infected",0
"724",0,0,0,0,0,0,0,0,0,13,"Zone 3","%Faeces infected",0
"725",1,0,1,0,1,0,0,6014,579,13,"Collection Zone","%Faeces infected",9.62753574991686
"726",0,0,0,0,143,10,0,0,0,14,"Zone 0","%Faeces infected",0
"727",0,0,0,0,743,39,0,483,43,14,"Zone 1","%Faeces infected",8.88429752066116
"728",2000,266,2000,205,69,4,171,517,53,14,"Zone 2","%Faeces infected",10.2316602316602
"729",0,0,0,0,0,0,0,0,0,14,"Zone 3","%Faeces infected",0
"730",1,0,1,0,1,0,0,12027,1158,14,"Collection Zone","%Faeces infected",9.62833624345223
"731",0,0,0,0,143,10,0,0,0,15,"Zone 0","%Faeces infected",0
"732",0,0,0,0,743,39,0,483,43,15,"Zone 1","%Faeces infected",8.88429752066116
"733",2000,269,2000,203,134,6,169,1024,107,15,"Zone 2","%Faeces infected",10.4390243902439
"734",0,0,0,0,0,0,0,0,0,15,"Zone 3","%Faeces infected",0
"735",1,0,1,0,1,0,0,18040,1737,15,"Collection Zone","%Faeces infected",9.62860310421286
"736",0,0,0,0,143,10,0,0,0,16,"Zone 0","%Faeces infected",0
"737",0,0,0,0,743,39,0,483,43,16,"Zone 1","%Faeces infected",8.88429752066116
"738",2000,271,2000,202,186,10,167,1507,157,16,"Zone 2","%Faeces infected",10.4111405835544
"739",0,0,0,0,0,0,0,0,0,16,"Zone 3","%Faeces infected",0
"740",1,0,1,0,1,0,0,24053,2316,16,"Collection Zone","%Faeces infected",9.62873654014052
"741",0,0,0,0,143,10,0,0,0,17,"Zone 0","%Faeces infected",0
"742",0,0,0,0,743,39,0,483,43,17,"Zone 1","%Faeces infected",8.88429752066116
"743",2000,270,2000,204,270,18,165,1993,194,17,"Zone 2","%Faeces infected",9.72918756268806
"744",0,0,0,0,0,0,0,0,0,17,"Zone 3","%Faeces infected",0
"745",1,0,1,0,1,0,0,30066,2895,17,"Collection Zone","%Faeces infected",9.62881660347236
"746",0,0,0,0,143,10,0,0,0,18,"Zone 0","%Faeces infected",0
"747",0,0,0,0,743,39,0,483,43,18,"Zone 1","%Faeces infected",8.88429752066116
"748",2000,271,2000,203,349,24,163,2488,246,18,"Zone 2","%Faeces infected",9.88348734431499
"749",0,0,0,0,0,0,0,0,0,18,"Zone 3","%Faeces infected",0
"750",1,0,1,0,1,0,0,36079,3474,18,"Collection Zone","%Faeces infected",9.62886997976662
"751",0,0,0,0,143,10,0,0,0,19,"Zone 0","%Faeces infected",0
"752",0,0,0,0,743,39,0,483,43,19,"Zone 1","%Faeces infected",8.88429752066116
"753",2000,280,2000,204,416,26,161,3003,303,19,"Zone 2","%Faeces infected",10.08655126498
"754",0,0,0,0,0,0,0,0,0,19,"Zone 3","%Faeces infected",0
"755",1,0,1,0,1,0,0,42092,4053,19,"Collection Zone","%Faeces infected",9.62890810605341
"756",0,0,0,0,143,10,0,0,0,20,"Zone 0","%Faeces infected",0
"757",0,0,0,0,743,39,0,483,43,20,"Zone 1","%Faeces infected",8.88429752066116
"758",2000,286,2000,205,472,27,161,3536,351,20,"Zone 2","%Faeces infected",9.9236641221374
"759",0,0,0,0,0,0,0,0,0,20,"Zone 3","%Faeces infected",0
"760",1,0,1,0,1,0,0,48105,4632,20,"Collection Zone","%Faeces infected",9.62893670096664
"761",0,0,0,0,143,10,0,0,0,21,"Zone 0","%Faeces infected",0
"762",0,0,0,0,743,39,0,483,43,21,"Zone 1","%Faeces infected",8.88429752066116
"763",2000,288,2000,202,522,28,158,4063,398,21,"Zone 2","%Faeces infected",9.79330708661417
"764",0,0,0,0,0,0,0,0,0,21,"Zone 3","%Faeces infected",0
"765",1,0,1,0,1,0,0,54118,5211,21,"Collection Zone","%Faeces infected",9.62895894157212
"766",0,0,0,0,143,10,0,0,0,22,"Zone 0","%Faeces infected",0
"767",0,0,0,0,743,39,0,483,43,22,"Zone 1","%Faeces infected",8.88429752066116
"768",2000,290,2000,202,574,30,156,4538,443,22,"Zone 2","%Faeces infected",9.75985899977969
"769",0,0,0,0,0,0,0,0,0,22,"Zone 3","%Faeces infected",0
"770",1,0,1,0,1,0,0,60131,5790,22,"Collection Zone","%Faeces infected",9.62897673413048
"771",0,0,0,0,143,10,0,0,0,23,"Zone 0","%Faeces infected",0
"772",0,0,0,0,743,39,0,483,43,23,"Zone 1","%Faeces infected",8.88429752066116
"773",2000,297,2000,209,625,30,155,5030,483,23,"Zone 2","%Faeces infected",9.60047704233751
"774",0,0,0,0,0,0,0,0,0,23,"Zone 3","%Faeces infected",0
"775",1,0,1,0,1,0,0,66144,6369,23,"Collection Zone","%Faeces infected",9.62899129172714
"776",0,0,0,0,143,10,0,0,0,24,"Zone 0","%Faeces infected",0
"777",0,0,0,0,743,39,0,483,43,24,"Zone 1","%Faeces infected",8.88429752066116
"778",2000,303,2000,211,685,32,155,5531,525,24,"Zone 2","%Faeces infected",9.49023861171367
"779",0,0,0,0,0,0,0,0,0,24,"Zone 3","%Faeces infected",0
"780",1,0,1,0,1,0,0,72157,6948,24,"Collection Zone","%Faeces infected",9.62900342309131
"781",0,0,0,0,143,10,0,0,0,25,"Zone 0","%Faeces infected",0
"782",0,0,0,0,743,39,0,0,0,25,"Zone 1","%Faeces infected",0
"783",0,0,0,0,685,32,0,0,0,25,"Zone 2","%Faeces infected",0
"784",2000,300,2000,296,72,1,153,474,63,25,"Zone 3","%Faeces infected",13.2631578947368
"785",1,0,1,0,1,0,0,78171,7516,25,"Collection Zone","%Faeces infected",9.61481879469368
"786",0,0,0,0,143,10,0,0,0,26,"Zone 0","%Faeces infected",0
"787",0,0,0,0,743,39,0,0,0,26,"Zone 1","%Faeces infected",0
"788",0,0,0,0,685,32,0,0,0,26,"Zone 2","%Faeces infected",0
"789",2000,300,2000,296,135,8,153,977,140,26,"Zone 3","%Faeces infected",14.3149284253579
"790",1,0,1,0,1,0,0,84185,8084,26,"Collection Zone","%Faeces infected",9.60266080655699
"791",0,0,0,0,73,4,0,0,0,27,"Zone 0","%Faeces infected",0
"792",0,0,0,0,743,39,0,0,0,27,"Zone 1","%Faeces infected",0
"793",0,0,0,0,685,32,0,0,0,27,"Zone 2","%Faeces infected",0
"794",2000,300,2000,296,214,14,153,1456,205,27,"Zone 3","%Faeces infected",14.070006863418
"795",1,0,1,0,71,6,0,90199,8652,27,"Collection Zone","%Faeces infected",9.59212408119824
"796",0,0,0,0,0,0,0,0,0,28,"Zone 0","%Faeces infected",0
"797",0,0,0,0,743,39,0,0,0,28,"Zone 1","%Faeces infected",0
"798",0,0,0,0,685,32,0,0,0,28,"Zone 2","%Faeces infected",0
"799",0,0,0,0,209,14,0,1456,205,28,"Zone 3","%Faeces infected",14.070006863418
"800",2001,300,2001,296,144,10,153,96213,9220,28,"Collection Zone","%Faeces infected",9.58290459709187
"801",0,0,0,0,0,0,0,0,0,29,"Zone 0","%Faeces infected",0
"802",0,0,0,0,689,35,0,0,0,29,"Zone 1","%Faeces infected",0
"803",0,0,0,0,685,32,0,0,0,29,"Zone 2","%Faeces infected",0
"804",0,0,0,0,209,14,0,1456,205,29,"Zone 3","%Faeces infected",14.070006863418
"805",2001,300,2001,296,198,14,153,102227,9788,29,"Collection Zone","%Faeces infected",9.57476987488628
"806",0,0,0,0,0,0,0,0,0,30,"Zone 0","%Faeces infected",0
"807",0,0,0,0,624,32,0,0,0,30,"Zone 1","%Faeces infected",0
"808",0,0,0,0,685,32,0,0,0,30,"Zone 2","%Faeces infected",0
"809",0,0,0,0,209,14,0,1456,205,30,"Zone 3","%Faeces infected",14.070006863418
"810",2001,300,2001,296,263,17,153,108241,10356,30,"Collection Zone","%Faeces infected",9.56753910255818
"811",0,0,0,0,0,0,0,0,0,31,"Zone 0","%Faeces infected",0
"812",0,0,0,0,550,29,0,0,0,31,"Zone 1","%Faeces infected",0
"813",0,0,0,0,685,32,0,0,0,31,"Zone 2","%Faeces infected",0
"814",0,0,0,0,209,14,0,1456,205,31,"Zone 3","%Faeces infected",14.070006863418
"815",2001,300,2001,296,337,20,153,114255,10924,31,"Collection Zone","%Faeces infected",9.56106953743819
"816",0,0,0,0,0,0,0,0,0,32,"Zone 0","%Faeces infected",0
"817",0,0,0,0,489,25,0,0,0,32,"Zone 1","%Faeces infected",0
"818",0,0,0,0,685,32,0,0,0,32,"Zone 2","%Faeces infected",0
"819",0,0,0,0,209,14,0,1456,205,32,"Zone 3","%Faeces infected",14.070006863418
"820",2001,300,2001,296,398,24,153,120269,11492,32,"Collection Zone","%Faeces infected",9.5552469880019
"821",0,0,0,0,0,0,0,0,0,33,"Zone 0","%Faeces infected",0
"822",0,0,0,0,418,19,0,0,0,33,"Zone 1","%Faeces infected",0
"823",0,0,0,0,685,32,0,0,0,33,"Zone 2","%Faeces infected",0
"824",0,0,0,0,209,14,0,1456,205,33,"Zone 3","%Faeces infected",14.070006863418
"825",2001,300,2001,296,469,30,153,126283,12060,33,"Collection Zone","%Faeces infected",9.54997901538608
